"GEOID","Census_Tract","County","State","Total","Total_Owner","Total_Renter","Owner_Category","Owner_Count","Renter_Category","Renter_Count"
"Census Tract 1018"," Kings"," New York",800,643,643,157,"Owner",0,"Renter",0
"Census Tract 1018"," Kings"," New York",800,643,643,157,"Owner",0,"Renter",NA
"Census Tract 1018"," Kings"," New York",800,643,643,157,"Owner",157,"Renter",0
"Census Tract 1018"," Kings"," New York",800,643,643,157,"Owner",157,"Renter",NA
"Census Tract 102"," Kings"," New York",1244,307,307,937,"Owner",0,"Renter",0
"Census Tract 102"," Kings"," New York",1244,307,307,937,"Owner",0,"Renter",NA
"Census Tract 102"," Kings"," New York",1244,307,307,937,"Owner",937,"Renter",0
"Census Tract 102"," Kings"," New York",1244,307,307,937,"Owner",937,"Renter",NA
"Census Tract 102"," New York"," New York",131,31,31,100,"Owner",0,"Renter",0
"Census Tract 102"," New York"," New York",131,31,31,100,"Owner",0,"Renter",NA
"Census Tract 102"," New York"," New York",131,31,31,100,"Owner",100,"Renter",0
"Census Tract 102"," New York"," New York",131,31,31,100,"Owner",100,"Renter",NA
"Census Tract 102"," Queens"," New York",739,474,474,249,"Owner",0,"Renter",16
"Census Tract 102"," Queens"," New York",739,474,474,249,"Owner",0,"Renter",NA
"Census Tract 102"," Queens"," New York",739,474,474,249,"Owner",265,"Renter",16
"Census Tract 102"," Queens"," New York",739,474,474,249,"Owner",265,"Renter",NA
"Census Tract 1020"," Kings"," New York",728,489,489,239,"Owner",0,"Renter",0
"Census Tract 1020"," Kings"," New York",728,489,489,239,"Owner",0,"Renter",NA
"Census Tract 1020"," Kings"," New York",728,489,489,239,"Owner",239,"Renter",0
"Census Tract 1020"," Kings"," New York",728,489,489,239,"Owner",239,"Renter",NA
"Census Tract 1022"," Kings"," New York",762,407,407,355,"Owner",0,"Renter",0
"Census Tract 1022"," Kings"," New York",762,407,407,355,"Owner",0,"Renter",NA
"Census Tract 1022"," Kings"," New York",762,407,407,355,"Owner",355,"Renter",0
"Census Tract 1022"," Kings"," New York",762,407,407,355,"Owner",355,"Renter",NA
"Census Tract 1024"," Kings"," New York",710,420,420,290,"Owner",0,"Renter",0
"Census Tract 1024"," Kings"," New York",710,420,420,290,"Owner",0,"Renter",NA
"Census Tract 1024"," Kings"," New York",710,420,420,290,"Owner",290,"Renter",0
"Census Tract 1024"," Kings"," New York",710,420,420,290,"Owner",290,"Renter",NA
"Census Tract 1026"," Kings"," New York",944,493,493,451,"Owner",0,"Renter",0
"Census Tract 1026"," Kings"," New York",944,493,493,451,"Owner",0,"Renter",NA
"Census Tract 1026"," Kings"," New York",944,493,493,451,"Owner",451,"Renter",0
"Census Tract 1026"," Kings"," New York",944,493,493,451,"Owner",451,"Renter",NA
"Census Tract 1028.01"," Kings"," New York",522,351,351,171,"Owner",0,"Renter",0
"Census Tract 1028.01"," Kings"," New York",522,351,351,171,"Owner",0,"Renter",NA
"Census Tract 1028.01"," Kings"," New York",522,351,351,171,"Owner",171,"Renter",0
"Census Tract 1028.01"," Kings"," New York",522,351,351,171,"Owner",171,"Renter",NA
"Census Tract 1028.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1028.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1028.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1028.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1029"," Queens"," New York",1413,743,743,670,"Owner",0,"Renter",0
"Census Tract 1029"," Queens"," New York",1413,743,743,670,"Owner",0,"Renter",NA
"Census Tract 1029"," Queens"," New York",1413,743,743,670,"Owner",670,"Renter",0
"Census Tract 1029"," Queens"," New York",1413,743,743,670,"Owner",670,"Renter",NA
"Census Tract 103"," New York"," New York",1319,149,149,1162,"Owner",0,"Renter",8
"Census Tract 103"," New York"," New York",1319,149,149,1162,"Owner",0,"Renter",NA
"Census Tract 103"," New York"," New York",1319,149,149,1162,"Owner",1170,"Renter",8
"Census Tract 103"," New York"," New York",1319,149,149,1162,"Owner",1170,"Renter",NA
"Census Tract 103"," Queens"," New York",1897,501,501,1396,"Owner",0,"Renter",0
"Census Tract 103"," Queens"," New York",1897,501,501,1396,"Owner",0,"Renter",NA
"Census Tract 103"," Queens"," New York",1897,501,501,1396,"Owner",1396,"Renter",0
"Census Tract 103"," Queens"," New York",1897,501,501,1396,"Owner",1396,"Renter",NA
"Census Tract 1032.01"," Queens"," New York",1753,299,299,1454,"Owner",0,"Renter",0
"Census Tract 1032.01"," Queens"," New York",1753,299,299,1454,"Owner",0,"Renter",NA
"Census Tract 1032.01"," Queens"," New York",1753,299,299,1454,"Owner",1454,"Renter",0
"Census Tract 1032.01"," Queens"," New York",1753,299,299,1454,"Owner",1454,"Renter",NA
"Census Tract 1032.02"," Queens"," New York",2256,655,655,1601,"Owner",0,"Renter",0
"Census Tract 1032.02"," Queens"," New York",2256,655,655,1601,"Owner",0,"Renter",NA
"Census Tract 1032.02"," Queens"," New York",2256,655,655,1601,"Owner",1601,"Renter",0
"Census Tract 1032.02"," Queens"," New York",2256,655,655,1601,"Owner",1601,"Renter",NA
"Census Tract 1033"," Queens"," New York",1363,884,884,479,"Owner",0,"Renter",0
"Census Tract 1033"," Queens"," New York",1363,884,884,479,"Owner",0,"Renter",NA
"Census Tract 1033"," Queens"," New York",1363,884,884,479,"Owner",479,"Renter",0
"Census Tract 1033"," Queens"," New York",1363,884,884,479,"Owner",479,"Renter",NA
"Census Tract 1034.01"," Kings"," New York",1713,0,0,1713,"Owner",0,"Renter",0
"Census Tract 1034.01"," Kings"," New York",1713,0,0,1713,"Owner",0,"Renter",NA
"Census Tract 1034.01"," Kings"," New York",1713,0,0,1713,"Owner",1713,"Renter",0
"Census Tract 1034.01"," Kings"," New York",1713,0,0,1713,"Owner",1713,"Renter",NA
"Census Tract 1034.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1034.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1034.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1034.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1039"," Queens"," New York",2189,1163,1163,1026,"Owner",0,"Renter",0
"Census Tract 1039"," Queens"," New York",2189,1163,1163,1026,"Owner",0,"Renter",NA
"Census Tract 1039"," Queens"," New York",2189,1163,1163,1026,"Owner",1026,"Renter",0
"Census Tract 1039"," Queens"," New York",2189,1163,1163,1026,"Owner",1026,"Renter",NA
"Census Tract 104"," New York"," New York",552,281,281,271,"Owner",0,"Renter",0
"Census Tract 104"," New York"," New York",552,281,281,271,"Owner",0,"Renter",NA
"Census Tract 104"," New York"," New York",552,281,281,271,"Owner",271,"Renter",0
"Census Tract 104"," New York"," New York",552,281,281,271,"Owner",271,"Renter",NA
"Census Tract 104"," Queens"," New York",967,592,592,375,"Owner",0,"Renter",0
"Census Tract 104"," Queens"," New York",967,592,592,375,"Owner",0,"Renter",NA
"Census Tract 104"," Queens"," New York",967,592,592,375,"Owner",375,"Renter",0
"Census Tract 104"," Queens"," New York",967,592,592,375,"Owner",375,"Renter",NA
"Census Tract 104.01"," Kings"," New York",593,159,159,434,"Owner",0,"Renter",0
"Census Tract 104.01"," Kings"," New York",593,159,159,434,"Owner",0,"Renter",NA
"Census Tract 104.01"," Kings"," New York",593,159,159,434,"Owner",434,"Renter",0
"Census Tract 104.01"," Kings"," New York",593,159,159,434,"Owner",434,"Renter",NA
"Census Tract 104.02"," Kings"," New York",647,156,156,491,"Owner",0,"Renter",0
"Census Tract 104.02"," Kings"," New York",647,156,156,491,"Owner",0,"Renter",NA
"Census Tract 104.02"," Kings"," New York",647,156,156,491,"Owner",491,"Renter",0
"Census Tract 104.02"," Kings"," New York",647,156,156,491,"Owner",491,"Renter",NA
"Census Tract 1047"," Queens"," New York",2599,1440,1440,1159,"Owner",0,"Renter",0
"Census Tract 1047"," Queens"," New York",2599,1440,1440,1159,"Owner",0,"Renter",NA
"Census Tract 1047"," Queens"," New York",2599,1440,1440,1159,"Owner",1159,"Renter",0
"Census Tract 1047"," Queens"," New York",2599,1440,1440,1159,"Owner",1159,"Renter",NA
"Census Tract 105"," Queens"," New York",1642,185,185,1457,"Owner",0,"Renter",0
"Census Tract 105"," Queens"," New York",1642,185,185,1457,"Owner",0,"Renter",NA
"Census Tract 105"," Queens"," New York",1642,185,185,1457,"Owner",1457,"Renter",0
"Census Tract 105"," Queens"," New York",1642,185,185,1457,"Owner",1457,"Renter",NA
"Census Tract 105"," Richmond"," New York",1645,947,947,642,"Owner",0,"Renter",56
"Census Tract 105"," Richmond"," New York",1645,947,947,642,"Owner",0,"Renter",NA
"Census Tract 105"," Richmond"," New York",1645,947,947,642,"Owner",698,"Renter",56
"Census Tract 105"," Richmond"," New York",1645,947,947,642,"Owner",698,"Renter",NA
"Census Tract 1058.01"," Kings"," New York",3581,34,34,3537,"Owner",0,"Renter",10
"Census Tract 1058.01"," Kings"," New York",3581,34,34,3537,"Owner",0,"Renter",NA
"Census Tract 1058.01"," Kings"," New York",3581,34,34,3537,"Owner",3547,"Renter",10
"Census Tract 1058.01"," Kings"," New York",3581,34,34,3537,"Owner",3547,"Renter",NA
"Census Tract 1058.04"," Kings"," New York",3057,89,89,2968,"Owner",0,"Renter",0
"Census Tract 1058.04"," Kings"," New York",3057,89,89,2968,"Owner",0,"Renter",NA
"Census Tract 1058.04"," Kings"," New York",3057,89,89,2968,"Owner",2968,"Renter",0
"Census Tract 1058.04"," Kings"," New York",3057,89,89,2968,"Owner",2968,"Renter",NA
"Census Tract 1059"," Queens"," New York",1204,1084,1084,120,"Owner",0,"Renter",0
"Census Tract 1059"," Queens"," New York",1204,1084,1084,120,"Owner",0,"Renter",NA
"Census Tract 1059"," Queens"," New York",1204,1084,1084,120,"Owner",120,"Renter",0
"Census Tract 1059"," Queens"," New York",1204,1084,1084,120,"Owner",120,"Renter",NA
"Census Tract 106"," Queens"," New York",979,674,674,305,"Owner",0,"Renter",0
"Census Tract 106"," Queens"," New York",979,674,674,305,"Owner",0,"Renter",NA
"Census Tract 106"," Queens"," New York",979,674,674,305,"Owner",305,"Renter",0
"Census Tract 106"," Queens"," New York",979,674,674,305,"Owner",305,"Renter",NA
"Census Tract 106.01"," Kings"," New York",694,134,134,560,"Owner",0,"Renter",0
"Census Tract 106.01"," Kings"," New York",694,134,134,560,"Owner",0,"Renter",NA
"Census Tract 106.01"," Kings"," New York",694,134,134,560,"Owner",560,"Renter",0
"Census Tract 106.01"," Kings"," New York",694,134,134,560,"Owner",560,"Renter",NA
"Census Tract 106.01"," New York"," New York",4127,2946,2946,1181,"Owner",0,"Renter",0
"Census Tract 106.01"," New York"," New York",4127,2946,2946,1181,"Owner",0,"Renter",NA
"Census Tract 106.01"," New York"," New York",4127,2946,2946,1181,"Owner",1181,"Renter",0
"Census Tract 106.01"," New York"," New York",4127,2946,2946,1181,"Owner",1181,"Renter",NA
"Census Tract 106.02"," Kings"," New York",550,222,222,328,"Owner",0,"Renter",0
"Census Tract 106.02"," Kings"," New York",550,222,222,328,"Owner",0,"Renter",NA
"Census Tract 106.02"," Kings"," New York",550,222,222,328,"Owner",328,"Renter",0
"Census Tract 106.02"," Kings"," New York",550,222,222,328,"Owner",328,"Renter",NA
"Census Tract 106.02"," New York"," New York",2091,316,316,1775,"Owner",0,"Renter",0
"Census Tract 106.02"," New York"," New York",2091,316,316,1775,"Owner",0,"Renter",NA
"Census Tract 106.02"," New York"," New York",2091,316,316,1775,"Owner",1775,"Renter",0
"Census Tract 106.02"," New York"," New York",2091,316,316,1775,"Owner",1775,"Renter",NA
"Census Tract 107.01"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 107.01"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 107.01"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 107.01"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1070.01"," Kings"," New York",1171,450,450,721,"Owner",0,"Renter",0
"Census Tract 1070.01"," Kings"," New York",1171,450,450,721,"Owner",0,"Renter",NA
"Census Tract 1070.01"," Kings"," New York",1171,450,450,721,"Owner",721,"Renter",0
"Census Tract 1070.01"," Kings"," New York",1171,450,450,721,"Owner",721,"Renter",NA
"Census Tract 1070.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1070.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1070.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1070.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1070.03"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1070.03"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1070.03"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1070.03"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1072.01"," Queens"," New York",813,637,637,176,"Owner",0,"Renter",0
"Census Tract 1072.01"," Queens"," New York",813,637,637,176,"Owner",0,"Renter",NA
"Census Tract 1072.01"," Queens"," New York",813,637,637,176,"Owner",176,"Renter",0
"Census Tract 1072.01"," Queens"," New York",813,637,637,176,"Owner",176,"Renter",NA
"Census Tract 1072.02"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1072.02"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1072.02"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1072.02"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1078"," Kings"," New York",1932,1152,1152,760,"Owner",0,"Renter",20
"Census Tract 1078"," Kings"," New York",1932,1152,1152,760,"Owner",0,"Renter",NA
"Census Tract 1078"," Kings"," New York",1932,1152,1152,760,"Owner",780,"Renter",20
"Census Tract 1078"," Kings"," New York",1932,1152,1152,760,"Owner",780,"Renter",NA
"Census Tract 108"," Queens"," New York",827,448,448,379,"Owner",0,"Renter",0
"Census Tract 108"," Queens"," New York",827,448,448,379,"Owner",0,"Renter",NA
"Census Tract 108"," Queens"," New York",827,448,448,379,"Owner",379,"Renter",0
"Census Tract 108"," Queens"," New York",827,448,448,379,"Owner",379,"Renter",NA
"Census Tract 108.01"," Kings"," New York",595,204,204,391,"Owner",0,"Renter",0
"Census Tract 108.01"," Kings"," New York",595,204,204,391,"Owner",0,"Renter",NA
"Census Tract 108.01"," Kings"," New York",595,204,204,391,"Owner",391,"Renter",0
"Census Tract 108.01"," Kings"," New York",595,204,204,391,"Owner",391,"Renter",NA
"Census Tract 108.01"," New York"," New York",1766,598,598,1168,"Owner",0,"Renter",0
"Census Tract 108.01"," New York"," New York",1766,598,598,1168,"Owner",0,"Renter",NA
"Census Tract 108.01"," New York"," New York",1766,598,598,1168,"Owner",1168,"Renter",0
"Census Tract 108.01"," New York"," New York",1766,598,598,1168,"Owner",1168,"Renter",NA
"Census Tract 108.02"," Kings"," New York",737,127,109,610,"Owner",18,"Renter",0
"Census Tract 108.02"," Kings"," New York",737,127,109,610,"Owner",18,"Renter",NA
"Census Tract 108.02"," Kings"," New York",737,127,109,610,"Owner",610,"Renter",0
"Census Tract 108.02"," Kings"," New York",737,127,109,610,"Owner",610,"Renter",NA
"Census Tract 108.02"," New York"," New York",2285,962,962,1323,"Owner",0,"Renter",0
"Census Tract 108.02"," New York"," New York",2285,962,962,1323,"Owner",0,"Renter",NA
"Census Tract 108.02"," New York"," New York",2285,962,962,1323,"Owner",1323,"Renter",0
"Census Tract 108.02"," New York"," New York",2285,962,962,1323,"Owner",1323,"Renter",NA
"Census Tract 108.03"," New York"," New York",1095,653,629,442,"Owner",24,"Renter",0
"Census Tract 108.03"," New York"," New York",1095,653,629,442,"Owner",24,"Renter",NA
"Census Tract 108.03"," New York"," New York",1095,653,629,442,"Owner",442,"Renter",0
"Census Tract 108.03"," New York"," New York",1095,653,629,442,"Owner",442,"Renter",NA
"Census Tract 1085"," Queens"," New York",962,668,668,294,"Owner",0,"Renter",0
"Census Tract 1085"," Queens"," New York",962,668,668,294,"Owner",0,"Renter",NA
"Census Tract 1085"," Queens"," New York",962,668,668,294,"Owner",294,"Renter",0
"Census Tract 1085"," Queens"," New York",962,668,668,294,"Owner",294,"Renter",NA
"Census Tract 109"," New York"," New York",87,31,31,56,"Owner",0,"Renter",0
"Census Tract 109"," New York"," New York",87,31,31,56,"Owner",0,"Renter",NA
"Census Tract 109"," New York"," New York",87,31,31,56,"Owner",56,"Renter",0
"Census Tract 109"," New York"," New York",87,31,31,56,"Owner",56,"Renter",NA
"Census Tract 1093"," Queens"," New York",1001,859,859,142,"Owner",0,"Renter",0
"Census Tract 1093"," Queens"," New York",1001,859,859,142,"Owner",0,"Renter",NA
"Census Tract 1093"," Queens"," New York",1001,859,859,142,"Owner",142,"Renter",0
"Census Tract 1093"," Queens"," New York",1001,859,859,142,"Owner",142,"Renter",NA
"Census Tract 1097"," Queens"," New York",630,502,495,128,"Owner",7,"Renter",0
"Census Tract 1097"," Queens"," New York",630,502,495,128,"Owner",7,"Renter",NA
"Census Tract 1097"," Queens"," New York",630,502,495,128,"Owner",128,"Renter",0
"Census Tract 1097"," Queens"," New York",630,502,495,128,"Owner",128,"Renter",NA
