"","GEOID","Census_Tract","County","State","Total","Total_Owner","Total_Renter","Owner_Category","Owner_Count","Renter_Category","Renter_Count"
"22","Census Tract 1.03"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"23","Census Tract 1.03"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"24","Census Tract 1.03"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"25","Census Tract 1.04"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"26","Census Tract 1.04"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"27","Census Tract 1.04"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"28","Census Tract 1.04"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"29","Census Tract 10"," Queens"," New York",987,464,464,523,"Owner",0,"Renter",0
"30","Census Tract 10"," Queens"," New York",987,464,464,523,"Owner",0,"Renter",NA
"31","Census Tract 10"," Queens"," New York",987,464,464,523,"Owner",523,"Renter",0
"32","Census Tract 10"," Queens"," New York",987,464,464,523,"Owner",523,"Renter",NA
"33","Census Tract 10.01"," New York"," New York",785,515,515,270,"Owner",0,"Renter",0
"34","Census Tract 10.01"," New York"," New York",785,515,515,270,"Owner",0,"Renter",NA
"35","Census Tract 10.01"," New York"," New York",785,515,515,270,"Owner",270,"Renter",0
"36","Census Tract 10.01"," New York"," New York",785,515,515,270,"Owner",270,"Renter",NA
"37","Census Tract 10.02"," New York"," New York",2312,0,0,2312,"Owner",0,"Renter",0
"38","Census Tract 10.02"," New York"," New York",2312,0,0,2312,"Owner",0,"Renter",NA
"39","Census Tract 10.02"," New York"," New York",2312,0,0,2312,"Owner",2312,"Renter",0
"40","Census Tract 10.02"," New York"," New York",2312,0,0,2312,"Owner",2312,"Renter",NA
"41","Census Tract 100"," Kings"," New York",1734,462,462,1272,"Owner",0,"Renter",0
"42","Census Tract 100"," Kings"," New York",1734,462,462,1272,"Owner",0,"Renter",NA
"43","Census Tract 100"," Kings"," New York",1734,462,462,1272,"Owner",1272,"Renter",0
"44","Census Tract 100"," Kings"," New York",1734,462,462,1272,"Owner",1272,"Renter",NA
"45","Census Tract 100"," New York"," New York",1186,221,221,965,"Owner",0,"Renter",0
"46","Census Tract 100"," New York"," New York",1186,221,221,965,"Owner",0,"Renter",NA
"47","Census Tract 100"," New York"," New York",1186,221,221,965,"Owner",965,"Renter",0
"48","Census Tract 100"," New York"," New York",1186,221,221,965,"Owner",965,"Renter",NA
"49","Census Tract 100"," Queens"," New York",1178,924,924,254,"Owner",0,"Renter",0
"50","Census Tract 100"," Queens"," New York",1178,924,924,254,"Owner",0,"Renter",NA
"51","Census Tract 100"," Queens"," New York",1178,924,924,254,"Owner",254,"Renter",0
"52","Census Tract 100"," Queens"," New York",1178,924,924,254,"Owner",254,"Renter",NA
"53","Census Tract 1004"," Kings"," New York",972,457,457,490,"Owner",0,"Renter",25
"54","Census Tract 1004"," Kings"," New York",972,457,457,490,"Owner",0,"Renter",NA
"55","Census Tract 1004"," Kings"," New York",972,457,457,490,"Owner",515,"Renter",25
"56","Census Tract 1004"," Kings"," New York",972,457,457,490,"Owner",515,"Renter",NA
"57","Census Tract 1006"," Kings"," New York",925,613,613,312,"Owner",0,"Renter",0
"58","Census Tract 1006"," Kings"," New York",925,613,613,312,"Owner",0,"Renter",NA
"59","Census Tract 1006"," Kings"," New York",925,613,613,312,"Owner",312,"Renter",0
"60","Census Tract 1006"," Kings"," New York",925,613,613,312,"Owner",312,"Renter",NA
"61","Census Tract 1008"," Kings"," New York",661,332,327,329,"Owner",5,"Renter",0
"62","Census Tract 1008"," Kings"," New York",661,332,327,329,"Owner",5,"Renter",NA
"63","Census Tract 1008"," Kings"," New York",661,332,327,329,"Owner",329,"Renter",0
"64","Census Tract 1008"," Kings"," New York",661,332,327,329,"Owner",329,"Renter",NA
"65","Census Tract 1008.01"," Queens"," New York",669,533,533,136,"Owner",0,"Renter",0
"66","Census Tract 1008.01"," Queens"," New York",669,533,533,136,"Owner",0,"Renter",NA
"67","Census Tract 1008.01"," Queens"," New York",669,533,533,136,"Owner",136,"Renter",0
"68","Census Tract 1008.01"," Queens"," New York",669,533,533,136,"Owner",136,"Renter",NA
"69","Census Tract 1008.03"," Queens"," New York",1201,479,479,722,"Owner",0,"Renter",0
"70","Census Tract 1008.03"," Queens"," New York",1201,479,479,722,"Owner",0,"Renter",NA
"71","Census Tract 1008.03"," Queens"," New York",1201,479,479,722,"Owner",722,"Renter",0
"72","Census Tract 1008.03"," Queens"," New York",1201,479,479,722,"Owner",722,"Renter",NA
"73","Census Tract 1008.04"," Queens"," New York",1433,776,776,657,"Owner",0,"Renter",0
"74","Census Tract 1008.04"," Queens"," New York",1433,776,776,657,"Owner",0,"Renter",NA
"75","Census Tract 1008.04"," Queens"," New York",1433,776,776,657,"Owner",657,"Renter",0
"76","Census Tract 1008.04"," Queens"," New York",1433,776,776,657,"Owner",657,"Renter",NA
"77","Census Tract 101"," Kings"," New York",1494,408,408,1086,"Owner",0,"Renter",0
"78","Census Tract 101"," Kings"," New York",1494,408,408,1086,"Owner",0,"Renter",NA
"79","Census Tract 101"," Kings"," New York",1494,408,408,1086,"Owner",1086,"Renter",0
"80","Census Tract 101"," Kings"," New York",1494,408,408,1086,"Owner",1086,"Renter",NA
"81","Census Tract 101"," New York"," New York",948,4,4,944,"Owner",0,"Renter",0
"82","Census Tract 101"," New York"," New York",948,4,4,944,"Owner",0,"Renter",NA
"83","Census Tract 101"," New York"," New York",948,4,4,944,"Owner",944,"Renter",0
"84","Census Tract 101"," New York"," New York",948,4,4,944,"Owner",944,"Renter",NA
"85","Census Tract 101"," Queens"," New York",993,330,322,663,"Owner",8,"Renter",0
"86","Census Tract 101"," Queens"," New York",993,330,322,663,"Owner",8,"Renter",NA
"87","Census Tract 101"," Queens"," New York",993,330,322,663,"Owner",663,"Renter",0
"88","Census Tract 101"," Queens"," New York",993,330,322,663,"Owner",663,"Renter",NA
"89","Census Tract 1010"," Kings"," New York",872,424,424,448,"Owner",0,"Renter",0
"90","Census Tract 1010"," Kings"," New York",872,424,424,448,"Owner",0,"Renter",NA
"91","Census Tract 1010"," Kings"," New York",872,424,424,448,"Owner",448,"Renter",0
"92","Census Tract 1010"," Kings"," New York",872,424,424,448,"Owner",448,"Renter",NA
"93","Census Tract 1010.02"," Queens"," New York",1634,622,622,1012,"Owner",0,"Renter",0
"94","Census Tract 1010.02"," Queens"," New York",1634,622,622,1012,"Owner",0,"Renter",NA
"95","Census Tract 1010.02"," Queens"," New York",1634,622,622,1012,"Owner",1012,"Renter",0
"96","Census Tract 1010.02"," Queens"," New York",1634,622,622,1012,"Owner",1012,"Renter",NA
"97","Census Tract 1010.03"," Queens"," New York",1138,141,141,997,"Owner",0,"Renter",0
"98","Census Tract 1010.03"," Queens"," New York",1138,141,141,997,"Owner",0,"Renter",NA
"99","Census Tract 1010.03"," Queens"," New York",1138,141,141,997,"Owner",997,"Renter",0
"100","Census Tract 1010.03"," Queens"," New York",1138,141,141,997,"Owner",997,"Renter",NA
"101","Census Tract 1010.04"," Queens"," New York",2407,638,638,1769,"Owner",0,"Renter",0
"102","Census Tract 1010.04"," Queens"," New York",2407,638,638,1769,"Owner",0,"Renter",NA
"103","Census Tract 1010.04"," Queens"," New York",2407,638,638,1769,"Owner",1769,"Renter",0
"104","Census Tract 1010.04"," Queens"," New York",2407,638,638,1769,"Owner",1769,"Renter",NA
"105","Census Tract 1012"," Kings"," New York",869,443,443,426,"Owner",0,"Renter",0
"106","Census Tract 1012"," Kings"," New York",869,443,443,426,"Owner",0,"Renter",NA
"107","Census Tract 1012"," Kings"," New York",869,443,443,426,"Owner",426,"Renter",0
"108","Census Tract 1012"," Kings"," New York",869,443,443,426,"Owner",426,"Renter",NA
"109","Census Tract 1014"," Kings"," New York",814,505,505,309,"Owner",0,"Renter",0
"110","Census Tract 1014"," Kings"," New York",814,505,505,309,"Owner",0,"Renter",NA
"111","Census Tract 1014"," Kings"," New York",814,505,505,309,"Owner",309,"Renter",0
"112","Census Tract 1014"," Kings"," New York",814,505,505,309,"Owner",309,"Renter",NA
"113","Census Tract 1016"," Kings"," New York",520,396,396,124,"Owner",0,"Renter",0
"114","Census Tract 1016"," Kings"," New York",520,396,396,124,"Owner",0,"Renter",NA
"115","Census Tract 1016"," Kings"," New York",520,396,396,124,"Owner",124,"Renter",0
"116","Census Tract 1016"," Kings"," New York",520,396,396,124,"Owner",124,"Renter",NA
"117","Census Tract 1017"," Queens"," New York",2248,1953,1953,295,"Owner",0,"Renter",0
"118","Census Tract 1017"," Queens"," New York",2248,1953,1953,295,"Owner",0,"Renter",NA
"119","Census Tract 1017"," Queens"," New York",2248,1953,1953,295,"Owner",295,"Renter",0
"120","Census Tract 1017"," Queens"," New York",2248,1953,1953,295,"Owner",295,"Renter",NA
"121","Census Tract 1018"," Kings"," New York",800,643,643,157,"Owner",0,"Renter",0
"122","Census Tract 1018"," Kings"," New York",800,643,643,157,"Owner",0,"Renter",NA
"123","Census Tract 1018"," Kings"," New York",800,643,643,157,"Owner",157,"Renter",0
"124","Census Tract 1018"," Kings"," New York",800,643,643,157,"Owner",157,"Renter",NA
"125","Census Tract 102"," Kings"," New York",1244,307,307,937,"Owner",0,"Renter",0
"126","Census Tract 102"," Kings"," New York",1244,307,307,937,"Owner",0,"Renter",NA
"127","Census Tract 102"," Kings"," New York",1244,307,307,937,"Owner",937,"Renter",0
"128","Census Tract 102"," Kings"," New York",1244,307,307,937,"Owner",937,"Renter",NA
"129","Census Tract 102"," New York"," New York",131,31,31,100,"Owner",0,"Renter",0
"130","Census Tract 102"," New York"," New York",131,31,31,100,"Owner",0,"Renter",NA
"131","Census Tract 102"," New York"," New York",131,31,31,100,"Owner",100,"Renter",0
"132","Census Tract 102"," New York"," New York",131,31,31,100,"Owner",100,"Renter",NA
"133","Census Tract 102"," Queens"," New York",739,474,474,249,"Owner",0,"Renter",16
"134","Census Tract 102"," Queens"," New York",739,474,474,249,"Owner",0,"Renter",NA
"135","Census Tract 102"," Queens"," New York",739,474,474,249,"Owner",265,"Renter",16
"136","Census Tract 102"," Queens"," New York",739,474,474,249,"Owner",265,"Renter",NA
"137","Census Tract 1020"," Kings"," New York",728,489,489,239,"Owner",0,"Renter",0
"138","Census Tract 1020"," Kings"," New York",728,489,489,239,"Owner",0,"Renter",NA
"139","Census Tract 1020"," Kings"," New York",728,489,489,239,"Owner",239,"Renter",0
"140","Census Tract 1020"," Kings"," New York",728,489,489,239,"Owner",239,"Renter",NA
"141","Census Tract 1022"," Kings"," New York",762,407,407,355,"Owner",0,"Renter",0
"142","Census Tract 1022"," Kings"," New York",762,407,407,355,"Owner",0,"Renter",NA
"143","Census Tract 1022"," Kings"," New York",762,407,407,355,"Owner",355,"Renter",0
"144","Census Tract 1022"," Kings"," New York",762,407,407,355,"Owner",355,"Renter",NA
"145","Census Tract 1024"," Kings"," New York",710,420,420,290,"Owner",0,"Renter",0
"146","Census Tract 1024"," Kings"," New York",710,420,420,290,"Owner",0,"Renter",NA
"147","Census Tract 1024"," Kings"," New York",710,420,420,290,"Owner",290,"Renter",0
"148","Census Tract 1024"," Kings"," New York",710,420,420,290,"Owner",290,"Renter",NA
"149","Census Tract 1026"," Kings"," New York",944,493,493,451,"Owner",0,"Renter",0
"150","Census Tract 1026"," Kings"," New York",944,493,493,451,"Owner",0,"Renter",NA
"151","Census Tract 1026"," Kings"," New York",944,493,493,451,"Owner",451,"Renter",0
"152","Census Tract 1026"," Kings"," New York",944,493,493,451,"Owner",451,"Renter",NA
"153","Census Tract 1028.01"," Kings"," New York",522,351,351,171,"Owner",0,"Renter",0
"154","Census Tract 1028.01"," Kings"," New York",522,351,351,171,"Owner",0,"Renter",NA
"155","Census Tract 1028.01"," Kings"," New York",522,351,351,171,"Owner",171,"Renter",0
"156","Census Tract 1028.01"," Kings"," New York",522,351,351,171,"Owner",171,"Renter",NA
"157","Census Tract 1028.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"158","Census Tract 1028.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"159","Census Tract 1028.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"160","Census Tract 1028.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"161","Census Tract 1029"," Queens"," New York",1413,743,743,670,"Owner",0,"Renter",0
"162","Census Tract 1029"," Queens"," New York",1413,743,743,670,"Owner",0,"Renter",NA
"163","Census Tract 1029"," Queens"," New York",1413,743,743,670,"Owner",670,"Renter",0
"164","Census Tract 1029"," Queens"," New York",1413,743,743,670,"Owner",670,"Renter",NA
"165","Census Tract 103"," New York"," New York",1319,149,149,1162,"Owner",0,"Renter",8
"166","Census Tract 103"," New York"," New York",1319,149,149,1162,"Owner",0,"Renter",NA
"167","Census Tract 103"," New York"," New York",1319,149,149,1162,"Owner",1170,"Renter",8
"168","Census Tract 103"," New York"," New York",1319,149,149,1162,"Owner",1170,"Renter",NA
"169","Census Tract 103"," Queens"," New York",1897,501,501,1396,"Owner",0,"Renter",0
"170","Census Tract 103"," Queens"," New York",1897,501,501,1396,"Owner",0,"Renter",NA
"171","Census Tract 103"," Queens"," New York",1897,501,501,1396,"Owner",1396,"Renter",0
"172","Census Tract 103"," Queens"," New York",1897,501,501,1396,"Owner",1396,"Renter",NA
"173","Census Tract 1032.01"," Queens"," New York",1753,299,299,1454,"Owner",0,"Renter",0
"174","Census Tract 1032.01"," Queens"," New York",1753,299,299,1454,"Owner",0,"Renter",NA
"175","Census Tract 1032.01"," Queens"," New York",1753,299,299,1454,"Owner",1454,"Renter",0
"176","Census Tract 1032.01"," Queens"," New York",1753,299,299,1454,"Owner",1454,"Renter",NA
"177","Census Tract 1032.02"," Queens"," New York",2256,655,655,1601,"Owner",0,"Renter",0
"178","Census Tract 1032.02"," Queens"," New York",2256,655,655,1601,"Owner",0,"Renter",NA
"179","Census Tract 1032.02"," Queens"," New York",2256,655,655,1601,"Owner",1601,"Renter",0
"180","Census Tract 1032.02"," Queens"," New York",2256,655,655,1601,"Owner",1601,"Renter",NA
"181","Census Tract 1033"," Queens"," New York",1363,884,884,479,"Owner",0,"Renter",0
"182","Census Tract 1033"," Queens"," New York",1363,884,884,479,"Owner",0,"Renter",NA
"183","Census Tract 1033"," Queens"," New York",1363,884,884,479,"Owner",479,"Renter",0
"184","Census Tract 1033"," Queens"," New York",1363,884,884,479,"Owner",479,"Renter",NA
"185","Census Tract 1034.01"," Kings"," New York",1713,0,0,1713,"Owner",0,"Renter",0
"186","Census Tract 1034.01"," Kings"," New York",1713,0,0,1713,"Owner",0,"Renter",NA
"187","Census Tract 1034.01"," Kings"," New York",1713,0,0,1713,"Owner",1713,"Renter",0
"188","Census Tract 1034.01"," Kings"," New York",1713,0,0,1713,"Owner",1713,"Renter",NA
"189","Census Tract 1034.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"190","Census Tract 1034.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"191","Census Tract 1034.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"192","Census Tract 1034.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"193","Census Tract 1039"," Queens"," New York",2189,1163,1163,1026,"Owner",0,"Renter",0
"194","Census Tract 1039"," Queens"," New York",2189,1163,1163,1026,"Owner",0,"Renter",NA
"195","Census Tract 1039"," Queens"," New York",2189,1163,1163,1026,"Owner",1026,"Renter",0
"196","Census Tract 1039"," Queens"," New York",2189,1163,1163,1026,"Owner",1026,"Renter",NA
"197","Census Tract 104"," New York"," New York",552,281,281,271,"Owner",0,"Renter",0
"198","Census Tract 104"," New York"," New York",552,281,281,271,"Owner",0,"Renter",NA
"199","Census Tract 104"," New York"," New York",552,281,281,271,"Owner",271,"Renter",0
"200","Census Tract 104"," New York"," New York",552,281,281,271,"Owner",271,"Renter",NA
"201","Census Tract 104"," Queens"," New York",967,592,592,375,"Owner",0,"Renter",0
"202","Census Tract 104"," Queens"," New York",967,592,592,375,"Owner",0,"Renter",NA
"203","Census Tract 104"," Queens"," New York",967,592,592,375,"Owner",375,"Renter",0
"204","Census Tract 104"," Queens"," New York",967,592,592,375,"Owner",375,"Renter",NA
"205","Census Tract 104.01"," Kings"," New York",593,159,159,434,"Owner",0,"Renter",0
"206","Census Tract 104.01"," Kings"," New York",593,159,159,434,"Owner",0,"Renter",NA
"207","Census Tract 104.01"," Kings"," New York",593,159,159,434,"Owner",434,"Renter",0
"208","Census Tract 104.01"," Kings"," New York",593,159,159,434,"Owner",434,"Renter",NA
"209","Census Tract 104.02"," Kings"," New York",647,156,156,491,"Owner",0,"Renter",0
"210","Census Tract 104.02"," Kings"," New York",647,156,156,491,"Owner",0,"Renter",NA
"211","Census Tract 104.02"," Kings"," New York",647,156,156,491,"Owner",491,"Renter",0
"212","Census Tract 104.02"," Kings"," New York",647,156,156,491,"Owner",491,"Renter",NA
"213","Census Tract 1047"," Queens"," New York",2599,1440,1440,1159,"Owner",0,"Renter",0
"214","Census Tract 1047"," Queens"," New York",2599,1440,1440,1159,"Owner",0,"Renter",NA
"215","Census Tract 1047"," Queens"," New York",2599,1440,1440,1159,"Owner",1159,"Renter",0
"216","Census Tract 1047"," Queens"," New York",2599,1440,1440,1159,"Owner",1159,"Renter",NA
"217","Census Tract 105"," Queens"," New York",1642,185,185,1457,"Owner",0,"Renter",0
"218","Census Tract 105"," Queens"," New York",1642,185,185,1457,"Owner",0,"Renter",NA
"219","Census Tract 105"," Queens"," New York",1642,185,185,1457,"Owner",1457,"Renter",0
"220","Census Tract 105"," Queens"," New York",1642,185,185,1457,"Owner",1457,"Renter",NA
"221","Census Tract 105"," Richmond"," New York",1645,947,947,642,"Owner",0,"Renter",56
"222","Census Tract 105"," Richmond"," New York",1645,947,947,642,"Owner",0,"Renter",NA
"223","Census Tract 105"," Richmond"," New York",1645,947,947,642,"Owner",698,"Renter",56
"224","Census Tract 105"," Richmond"," New York",1645,947,947,642,"Owner",698,"Renter",NA
"225","Census Tract 1058.01"," Kings"," New York",3581,34,34,3537,"Owner",0,"Renter",10
"226","Census Tract 1058.01"," Kings"," New York",3581,34,34,3537,"Owner",0,"Renter",NA
"227","Census Tract 1058.01"," Kings"," New York",3581,34,34,3537,"Owner",3547,"Renter",10
"228","Census Tract 1058.01"," Kings"," New York",3581,34,34,3537,"Owner",3547,"Renter",NA
"229","Census Tract 1058.04"," Kings"," New York",3057,89,89,2968,"Owner",0,"Renter",0
"230","Census Tract 1058.04"," Kings"," New York",3057,89,89,2968,"Owner",0,"Renter",NA
"231","Census Tract 1058.04"," Kings"," New York",3057,89,89,2968,"Owner",2968,"Renter",0
"232","Census Tract 1058.04"," Kings"," New York",3057,89,89,2968,"Owner",2968,"Renter",NA
"233","Census Tract 1059"," Queens"," New York",1204,1084,1084,120,"Owner",0,"Renter",0
"234","Census Tract 1059"," Queens"," New York",1204,1084,1084,120,"Owner",0,"Renter",NA
"235","Census Tract 1059"," Queens"," New York",1204,1084,1084,120,"Owner",120,"Renter",0
"236","Census Tract 1059"," Queens"," New York",1204,1084,1084,120,"Owner",120,"Renter",NA
"237","Census Tract 106"," Queens"," New York",979,674,674,305,"Owner",0,"Renter",0
"238","Census Tract 106"," Queens"," New York",979,674,674,305,"Owner",0,"Renter",NA
"239","Census Tract 106"," Queens"," New York",979,674,674,305,"Owner",305,"Renter",0
"240","Census Tract 106"," Queens"," New York",979,674,674,305,"Owner",305,"Renter",NA
"241","Census Tract 106.01"," Kings"," New York",694,134,134,560,"Owner",0,"Renter",0
"242","Census Tract 106.01"," Kings"," New York",694,134,134,560,"Owner",0,"Renter",NA
"243","Census Tract 106.01"," Kings"," New York",694,134,134,560,"Owner",560,"Renter",0
"244","Census Tract 106.01"," Kings"," New York",694,134,134,560,"Owner",560,"Renter",NA
"245","Census Tract 106.01"," New York"," New York",4127,2946,2946,1181,"Owner",0,"Renter",0
"246","Census Tract 106.01"," New York"," New York",4127,2946,2946,1181,"Owner",0,"Renter",NA
"247","Census Tract 106.01"," New York"," New York",4127,2946,2946,1181,"Owner",1181,"Renter",0
"248","Census Tract 106.01"," New York"," New York",4127,2946,2946,1181,"Owner",1181,"Renter",NA
"249","Census Tract 106.02"," Kings"," New York",550,222,222,328,"Owner",0,"Renter",0
"250","Census Tract 106.02"," Kings"," New York",550,222,222,328,"Owner",0,"Renter",NA
"251","Census Tract 106.02"," Kings"," New York",550,222,222,328,"Owner",328,"Renter",0
"252","Census Tract 106.02"," Kings"," New York",550,222,222,328,"Owner",328,"Renter",NA
"253","Census Tract 106.02"," New York"," New York",2091,316,316,1775,"Owner",0,"Renter",0
"254","Census Tract 106.02"," New York"," New York",2091,316,316,1775,"Owner",0,"Renter",NA
"255","Census Tract 106.02"," New York"," New York",2091,316,316,1775,"Owner",1775,"Renter",0
"256","Census Tract 106.02"," New York"," New York",2091,316,316,1775,"Owner",1775,"Renter",NA
"257","Census Tract 107.01"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"258","Census Tract 107.01"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"259","Census Tract 107.01"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"260","Census Tract 107.01"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"261","Census Tract 1070.01"," Kings"," New York",1171,450,450,721,"Owner",0,"Renter",0
"262","Census Tract 1070.01"," Kings"," New York",1171,450,450,721,"Owner",0,"Renter",NA
"263","Census Tract 1070.01"," Kings"," New York",1171,450,450,721,"Owner",721,"Renter",0
"264","Census Tract 1070.01"," Kings"," New York",1171,450,450,721,"Owner",721,"Renter",NA
"265","Census Tract 1070.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"266","Census Tract 1070.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"267","Census Tract 1070.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"268","Census Tract 1070.02"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"269","Census Tract 1070.03"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"270","Census Tract 1070.03"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"271","Census Tract 1070.03"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",0
"272","Census Tract 1070.03"," Kings"," New York",0,0,0,0,"Owner",0,"Renter",NA
"273","Census Tract 1072.01"," Queens"," New York",813,637,637,176,"Owner",0,"Renter",0
"274","Census Tract 1072.01"," Queens"," New York",813,637,637,176,"Owner",0,"Renter",NA
"275","Census Tract 1072.01"," Queens"," New York",813,637,637,176,"Owner",176,"Renter",0
"276","Census Tract 1072.01"," Queens"," New York",813,637,637,176,"Owner",176,"Renter",NA
"277","Census Tract 1072.02"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"278","Census Tract 1072.02"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"279","Census Tract 1072.02"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"280","Census Tract 1072.02"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"281","Census Tract 1078"," Kings"," New York",1932,1152,1152,760,"Owner",0,"Renter",20
"282","Census Tract 1078"," Kings"," New York",1932,1152,1152,760,"Owner",0,"Renter",NA
"283","Census Tract 1078"," Kings"," New York",1932,1152,1152,760,"Owner",780,"Renter",20
"284","Census Tract 1078"," Kings"," New York",1932,1152,1152,760,"Owner",780,"Renter",NA
"285","Census Tract 108"," Queens"," New York",827,448,448,379,"Owner",0,"Renter",0
"286","Census Tract 108"," Queens"," New York",827,448,448,379,"Owner",0,"Renter",NA
"287","Census Tract 108"," Queens"," New York",827,448,448,379,"Owner",379,"Renter",0
"288","Census Tract 108"," Queens"," New York",827,448,448,379,"Owner",379,"Renter",NA
"289","Census Tract 108.01"," Kings"," New York",595,204,204,391,"Owner",0,"Renter",0
"290","Census Tract 108.01"," Kings"," New York",595,204,204,391,"Owner",0,"Renter",NA
"291","Census Tract 108.01"," Kings"," New York",595,204,204,391,"Owner",391,"Renter",0
"292","Census Tract 108.01"," Kings"," New York",595,204,204,391,"Owner",391,"Renter",NA
"293","Census Tract 108.01"," New York"," New York",1766,598,598,1168,"Owner",0,"Renter",0
"294","Census Tract 108.01"," New York"," New York",1766,598,598,1168,"Owner",0,"Renter",NA
"295","Census Tract 108.01"," New York"," New York",1766,598,598,1168,"Owner",1168,"Renter",0
"296","Census Tract 108.01"," New York"," New York",1766,598,598,1168,"Owner",1168,"Renter",NA
"297","Census Tract 108.02"," Kings"," New York",737,127,109,610,"Owner",18,"Renter",0
"298","Census Tract 108.02"," Kings"," New York",737,127,109,610,"Owner",18,"Renter",NA
"299","Census Tract 108.02"," Kings"," New York",737,127,109,610,"Owner",610,"Renter",0
"300","Census Tract 108.02"," Kings"," New York",737,127,109,610,"Owner",610,"Renter",NA
"301","Census Tract 108.02"," New York"," New York",2285,962,962,1323,"Owner",0,"Renter",0
"302","Census Tract 108.02"," New York"," New York",2285,962,962,1323,"Owner",0,"Renter",NA
"303","Census Tract 108.02"," New York"," New York",2285,962,962,1323,"Owner",1323,"Renter",0
"304","Census Tract 108.02"," New York"," New York",2285,962,962,1323,"Owner",1323,"Renter",NA
"305","Census Tract 108.03"," New York"," New York",1095,653,629,442,"Owner",24,"Renter",0
"306","Census Tract 108.03"," New York"," New York",1095,653,629,442,"Owner",24,"Renter",NA
"307","Census Tract 108.03"," New York"," New York",1095,653,629,442,"Owner",442,"Renter",0
"308","Census Tract 108.03"," New York"," New York",1095,653,629,442,"Owner",442,"Renter",NA
"309","Census Tract 1085"," Queens"," New York",962,668,668,294,"Owner",0,"Renter",0
